Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:12:00.702000,TSU,22,0 days 00:01:11.539000,7.0,3.0,NaT,NaT,0 days 00:00:17.454000,0 days 00:00:32.076000,0 days 00:00:22.009000,0 days 01:11:06.657000,0 days 01:11:38.733000,0 days 01:12:00.742000,313.0,218.0,275.0,308.0,True,HARD,6.0,False,AlphaTauri,0 days 01:10:49.163000,NaT,1,17.0,,,False,True
0 days 01:13:12.236000,TSU,22,0 days 00:01:11.534000,8.0,3.0,NaT,NaT,0 days 00:00:17.495000,0 days 00:00:31.882000,0 days 00:00:22.157000,0 days 01:12:18.237000,0 days 01:12:50.119000,0 days 01:13:12.276000,312.0,219.0,275.0,311.0,True,HARD,7.0,False,AlphaTauri,0 days 01:12:00.702000,NaT,1,16.0,,,False,True
0 days 01:14:23.961000,TSU,22,0 days 00:01:11.725000,9.0,3.0,NaT,NaT,0 days 00:00:17.594000,0 days 00:00:32.009000,0 days 00:00:22.122000,0 days 01:13:29.870000,0 days 01:14:01.879000,0 days 01:14:24.001000,310.0,219.0,275.0,309.0,False,HARD,8.0,False,AlphaTauri,0 days 01:13:12.236000,NaT,1,16.0,,,False,True
0 days 01:15:35.813000,TSU,22,0 days 00:01:11.852000,10.0,3.0,NaT,NaT,0 days 00:00:17.465000,0 days 00:00:32.176000,0 days 00:00:22.211000,0 days 01:14:41.466000,0 days 01:15:13.642000,0 days 01:15:35.853000,311.0,220.0,274.0,310.0,False,HARD,9.0,False,AlphaTauri,0 days 01:14:23.961000,NaT,1,16.0,,,False,True
0 days 01:16:47.866000,TSU,22,0 days 00:01:12.053000,11.0,3.0,NaT,NaT,0 days 00:00:17.779000,0 days 00:00:32.110000,0 days 00:00:22.164000,0 days 01:15:53.632000,0 days 01:16:25.742000,0 days 01:16:47.906000,295.0,219.0,269.0,295.0,False,HARD,10.0,False,AlphaTauri,0 days 01:15:35.813000,NaT,1,16.0,,,False,True
0 days 01:17:59.795000,TSU,22,0 days 00:01:11.929000,12.0,3.0,NaT,NaT,0 days 00:00:17.901000,0 days 00:00:31.888000,0 days 00:00:22.140000,0 days 01:17:05.807000,0 days 01:17:37.695000,0 days 01:17:59.835000,297.0,220.0,268.0,292.0,False,HARD,11.0,False,AlphaTauri,0 days 01:16:47.866000,NaT,1,15.0,,,False,True
0 days 01:19:11.752000,TSU,22,0 days 00:01:11.957000,13.0,3.0,NaT,NaT,0 days 00:00:17.892000,0 days 00:00:31.951000,0 days 00:00:22.114000,0 days 01:18:17.727000,0 days 01:18:49.678000,0 days 01:19:11.792000,295.0,220.0,267.0,293.0,False,HARD,12.0,False,AlphaTauri,0 days 01:17:59.795000,NaT,12,15.0,,,False,True
0 days 01:20:34.691000,TSU,22,0 days 00:01:22.939000,14.0,3.0,NaT,NaT,0 days 00:00:17.938000,0 days 00:00:38.364000,0 days 00:00:26.637000,0 days 01:19:29.730000,0 days 01:20:08.094000,0 days 01:20:34.731000,292.0,149.0,200.0,290.0,False,HARD,13.0,False,AlphaTauri,0 days 01:19:11.752000,NaT,26,14.0,,,False,False
0 days 01:22:08.515000,TSU,22,0 days 00:01:33.824000,15.0,3.0,NaT,NaT,0 days 00:00:25.082000,0 days 00:00:41.299000,0 days 00:00:27.443000,0 days 01:20:59.813000,0 days 01:21:41.112000,0 days 01:22:08.555000,211.0,187.0,203.0,269.0,False,HARD,14.0,False,AlphaTauri,0 days 01:20:34.691000,NaT,67,9.0,,,False,False
0 days 01:23:21.684000,TSU,22,0 days 00:01:13.169000,16.0,3.0,NaT,NaT,0 days 00:00:18.388000,0 days 00:00:32.536000,0 days 00:00:22.245000,0 days 01:22:26.943000,0 days 01:22:59.479000,0 days 01:23:21.724000,293.0,218.0,266.0,308.0,False,HARD,15.0,False,AlphaTauri,0 days 01:22:08.515000,NaT,71,8.0,,,False,False
