Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:30:57.042000,SAR,2,0 days 00:01:41.916000,51.0,3.0,NaT,NaT,0 days 00:00:27.235000,0 days 00:00:40.960000,0 days 00:00:33.721000,0 days 02:29:42.392000,0 days 02:30:23.352000,0 days 02:30:57.073000,212.0,185.0,200.0,305.0,False,MEDIUM,19.0,True,Williams,0 days 02:29:15.126000,NaT,1,13.0,,,False,True
0 days 02:32:38.990000,SAR,2,0 days 00:01:41.948000,52.0,3.0,NaT,NaT,0 days 00:00:27.262000,0 days 00:00:40.919000,0 days 00:00:33.767000,0 days 02:31:24.335000,0 days 02:32:05.254000,0 days 02:32:39.021000,214.0,184.0,201.0,329.0,False,MEDIUM,20.0,True,Williams,0 days 02:30:57.042000,NaT,1,12.0,,,False,True
0 days 02:34:21.998000,SAR,2,0 days 00:01:43.008000,53.0,3.0,NaT,NaT,0 days 00:00:27.632000,0 days 00:00:41.461000,0 days 00:00:33.915000,0 days 02:33:06.653000,0 days 02:33:48.114000,0 days 02:34:22.029000,211.0,183.0,198.0,304.0,False,MEDIUM,21.0,True,Williams,0 days 02:32:38.990000,NaT,1,12.0,,,False,True
0 days 02:36:03.821000,SAR,2,0 days 00:01:41.823000,54.0,3.0,NaT,NaT,0 days 00:00:27.331000,0 days 00:00:40.881000,0 days 00:00:33.611000,0 days 02:34:49.360000,0 days 02:35:30.241000,0 days 02:36:03.852000,211.0,186.0,200.0,308.0,False,MEDIUM,22.0,True,Williams,0 days 02:34:21.998000,NaT,1,12.0,,,False,True
0 days 02:37:46.315000,SAR,2,0 days 00:01:42.494000,55.0,3.0,NaT,NaT,0 days 00:00:27.422000,0 days 00:00:41.148000,0 days 00:00:33.924000,0 days 02:36:31.274000,0 days 02:37:12.422000,0 days 02:37:46.346000,214.0,185.0,199.0,306.0,False,MEDIUM,23.0,True,Williams,0 days 02:36:03.821000,NaT,1,12.0,,,False,True
0 days 02:39:28.823000,SAR,2,0 days 00:01:42.508000,56.0,3.0,NaT,NaT,0 days 00:00:27.343000,0 days 00:00:41.011000,0 days 00:00:34.154000,0 days 02:38:13.689000,0 days 02:38:54.700000,0 days 02:39:28.854000,217.0,186.0,202.0,308.0,False,MEDIUM,24.0,True,Williams,0 days 02:37:46.315000,NaT,12,12.0,,,False,True
0 days 01:04:32.708000,HUL,27,0 days 00:01:53.245000,1.0,1.0,0 days 01:02:50.279000,NaT,NaT,0 days 00:00:42.043000,0 days 00:00:34.752000,NaT,0 days 01:03:58.200000,0 days 01:04:32.824000,196.0,171.0,199.0,296.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:02:39.217000,NaT,1,19.0,,,False,False
0 days 01:06:17.977000,HUL,27,0 days 00:01:45.269000,2.0,1.0,NaT,NaT,0 days 00:00:28.527000,0 days 00:00:41.781000,0 days 00:00:34.961000,0 days 01:05:01.267000,0 days 01:05:43.048000,0 days 01:06:18.009000,195.0,176.0,199.0,278.0,True,HARD,2.0,True,Haas F1 Team,0 days 01:04:32.708000,NaT,1,19.0,,,False,True
0 days 01:08:02.777000,HUL,27,0 days 00:01:44.800000,3.0,1.0,NaT,NaT,0 days 00:00:28.567000,0 days 00:00:41.152000,0 days 00:00:35.081000,0 days 01:06:46.576000,0 days 01:07:27.728000,0 days 01:08:02.809000,202.0,171.0,197.0,303.0,True,HARD,3.0,True,Haas F1 Team,0 days 01:06:17.977000,NaT,1,19.0,,,False,True
0 days 01:09:48.500000,HUL,27,0 days 00:01:45.723000,4.0,1.0,NaT,NaT,0 days 00:00:28.102000,0 days 00:00:41.556000,0 days 00:00:36.065000,0 days 01:08:30.911000,0 days 01:09:12.467000,0 days 01:09:48.532000,202.0,174.0,198.0,320.0,False,HARD,4.0,True,Haas F1 Team,0 days 01:08:02.777000,NaT,1,19.0,,,False,True
