Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:36:50.311000,TSU,22,0 days 00:01:24.803000,66.0,3.0,NaT,NaT,0 days 00:00:30.283000,0 days 00:00:30.662000,0 days 00:00:23.858000,0 days 02:35:55.791000,0 days 02:36:26.453000,0 days 02:36:50.311000,275.0,239.0,255.0,307.0,False,MEDIUM,22.0,True,AlphaTauri,0 days 02:35:25.508000,NaT,1,16.0,,,False,True
0 days 02:38:16.060000,TSU,22,0 days 00:01:25.749000,67.0,3.0,NaT,NaT,0 days 00:00:30.122000,0 days 00:00:32.136000,0 days 00:00:23.491000,0 days 02:37:20.433000,0 days 02:37:52.569000,0 days 02:38:16.060000,276.0,239.0,249.0,309.0,False,MEDIUM,23.0,True,AlphaTauri,0 days 02:36:50.311000,NaT,12,15.0,,,False,True
0 days 02:39:39.329000,TSU,22,0 days 00:01:23.269000,68.0,3.0,NaT,NaT,0 days 00:00:30.036000,0 days 00:00:29.774000,0 days 00:00:23.459000,0 days 02:38:46.096000,0 days 02:39:15.870000,0 days 02:39:39.329000,281.0,240.0,249.0,289.0,True,MEDIUM,24.0,True,AlphaTauri,0 days 02:38:16.060000,NaT,1,15.0,,,False,True
0 days 02:41:04.529000,TSU,22,0 days 00:01:25.200000,69.0,3.0,NaT,NaT,0 days 00:00:30.388000,0 days 00:00:30.897000,0 days 00:00:23.915000,0 days 02:40:09.717000,0 days 02:40:40.614000,0 days 02:41:04.529000,282.0,235.0,249.0,303.0,False,MEDIUM,25.0,True,AlphaTauri,0 days 02:39:39.329000,NaT,1,15.0,,,False,True
0 days 01:03:41.085000,ZHO,24,0 days 00:01:36.733000,1.0,1.0,NaT,NaT,NaT,0 days 00:00:34.025000,0 days 00:00:24.426000,NaT,0 days 01:03:16.733000,0 days 01:03:41.198000,252.0,228.0,250.0,254.0,False,MEDIUM,4.0,False,Alfa Romeo,0 days 01:02:04.106000,NaT,12,16.0,,,False,False
0 days 01:05:09.017000,ZHO,24,0 days 00:01:27.932000,2.0,1.0,NaT,NaT,0 days 00:00:31.019000,0 days 00:00:32.468000,0 days 00:00:24.445000,0 days 01:04:12.116000,0 days 01:04:44.584000,0 days 01:05:09.029000,251.0,232.0,244.0,303.0,True,MEDIUM,5.0,False,Alfa Romeo,0 days 01:03:41.085000,NaT,1,16.0,,,False,True
0 days 01:06:35.791000,ZHO,24,0 days 00:01:26.774000,3.0,1.0,NaT,NaT,0 days 00:00:30.753000,0 days 00:00:31.630000,0 days 00:00:24.391000,0 days 01:05:39.782000,0 days 01:06:11.412000,0 days 01:06:35.803000,276.0,233.0,248.0,293.0,True,MEDIUM,6.0,False,Alfa Romeo,0 days 01:05:09.017000,NaT,1,16.0,,,False,True
0 days 01:08:02.204000,ZHO,24,0 days 00:01:26.413000,4.0,1.0,NaT,NaT,0 days 00:00:30.293000,0 days 00:00:31.804000,0 days 00:00:24.316000,0 days 01:07:06.096000,0 days 01:07:37.900000,0 days 01:08:02.216000,275.0,233.0,250.0,309.0,True,MEDIUM,7.0,False,Alfa Romeo,0 days 01:06:35.791000,NaT,1,16.0,,,False,True
0 days 01:09:28.541000,ZHO,24,0 days 00:01:26.337000,5.0,1.0,NaT,NaT,0 days 00:00:30.428000,0 days 00:00:31.673000,0 days 00:00:24.236000,0 days 01:08:32.644000,0 days 01:09:04.317000,0 days 01:09:28.553000,275.0,231.0,250.0,308.0,True,MEDIUM,8.0,False,Alfa Romeo,0 days 01:08:02.204000,NaT,1,16.0,,,False,True
0 days 01:10:54.854000,ZHO,24,0 days 00:01:26.313000,6.0,1.0,NaT,NaT,0 days 00:00:30.672000,0 days 00:00:31.325000,0 days 00:00:24.316000,0 days 01:09:59.225000,0 days 01:10:30.550000,0 days 01:10:54.866000,279.0,232.0,249.0,305.0,True,MEDIUM,9.0,False,Alfa Romeo,0 days 01:09:28.541000,NaT,1,16.0,,,False,True
0 days 01:12:20.787000,ZHO,24,0 days 00:01:25.933000,7.0,1.0,NaT,NaT,0 days 00:00:30.425000,0 days 00:00:31.145000,0 days 00:00:24.363000,0 days 01:11:25.291000,0 days 01:11:56.436000,0 days 01:12:20.799000,276.0,234.0,248.0,304.0,True,MEDIUM,10.0,False,Alfa Romeo,0 days 01:10:54.854000,NaT,1,16.0,,,False,True
