Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:20:47.738000,HAM,44,0 days 00:01:16.363000,40.0,4.0,NaT,NaT,0 days 00:00:19.552000,0 days 00:00:39.107000,0 days 00:00:17.704000,0 days 02:19:50.960000,0 days 02:20:30.067000,0 days 02:20:47.771000,299.0,251.0,297.0,289.0,False,MEDIUM,22.0,True,Mercedes,0 days 02:19:31.375000,NaT,1,7.0,,,False,True
0 days 02:22:04.127000,HAM,44,0 days 00:01:16.389000,41.0,4.0,NaT,NaT,0 days 00:00:19.588000,0 days 00:00:39.067000,0 days 00:00:17.734000,0 days 02:21:07.359000,0 days 02:21:46.426000,0 days 02:22:04.160000,298.0,250.0,298.0,289.0,False,MEDIUM,23.0,True,Mercedes,0 days 02:20:47.738000,NaT,1,7.0,,,False,True
0 days 02:23:20.553000,HAM,44,0 days 00:01:16.426000,42.0,4.0,NaT,NaT,0 days 00:00:19.594000,0 days 00:00:39.078000,0 days 00:00:17.754000,0 days 02:22:23.754000,0 days 02:23:02.832000,0 days 02:23:20.586000,297.0,250.0,296.0,295.0,False,MEDIUM,24.0,True,Mercedes,0 days 02:22:04.127000,NaT,1,7.0,,,False,True
0 days 02:24:37.093000,HAM,44,0 days 00:01:16.540000,43.0,4.0,NaT,NaT,0 days 00:00:19.504000,0 days 00:00:39.122000,0 days 00:00:17.914000,0 days 02:23:40.090000,0 days 02:24:19.212000,0 days 02:24:37.126000,299.0,245.0,295.0,292.0,False,MEDIUM,25.0,True,Mercedes,0 days 02:23:20.553000,NaT,1,7.0,,,False,True
0 days 02:25:54.318000,HAM,44,0 days 00:01:17.225000,44.0,4.0,NaT,NaT,0 days 00:00:19.598000,0 days 00:00:39.494000,0 days 00:00:18.133000,0 days 02:24:56.724000,0 days 02:25:36.218000,0 days 02:25:54.351000,297.0,246.0,296.0,287.0,False,MEDIUM,26.0,True,Mercedes,0 days 02:24:37.093000,NaT,1,7.0,,,False,True
0 days 02:27:11.293000,HAM,44,0 days 00:01:16.975000,45.0,4.0,NaT,NaT,0 days 00:00:19.635000,0 days 00:00:39.423000,0 days 00:00:17.917000,0 days 02:26:13.986000,0 days 02:26:53.409000,0 days 02:27:11.326000,299.0,247.0,297.0,295.0,False,MEDIUM,27.0,True,Mercedes,0 days 02:25:54.318000,NaT,1,7.0,,,False,True
0 days 02:28:31.785000,HAM,44,0 days 00:01:20.492000,46.0,4.0,NaT,0 days 02:28:28.886000,0 days 00:00:19.646000,0 days 00:00:39.339000,0 days 00:00:21.507000,0 days 02:27:30.972000,0 days 02:28:10.311000,0 days 02:28:31.818000,298.0,248.0,,292.0,False,MEDIUM,28.0,True,Mercedes,0 days 02:27:11.293000,NaT,1,7.0,,,False,False
0 days 02:30:05.314000,HAM,44,0 days 00:01:33.529000,47.0,5.0,0 days 02:28:52.917000,NaT,0 days 00:00:37.211000,0 days 00:00:39.170000,0 days 00:00:17.148000,0 days 02:29:09.029000,0 days 02:29:48.199000,0 days 02:30:05.347000,295.0,243.0,319.0,292.0,False,SOFT,4.0,False,Mercedes,0 days 02:28:31.785000,NaT,1,9.0,,,False,False
0 days 02:31:21.072000,HAM,44,0 days 00:01:15.758000,48.0,5.0,NaT,NaT,0 days 00:00:19.119000,0 days 00:00:39.203000,0 days 00:00:17.436000,0 days 02:30:24.466000,0 days 02:31:03.669000,0 days 02:31:21.105000,298.0,236.0,293.0,319.0,False,SOFT,5.0,False,Mercedes,0 days 02:30:05.314000,NaT,1,8.0,,,False,True
0 days 02:32:36.893000,HAM,44,0 days 00:01:15.821000,49.0,5.0,NaT,NaT,0 days 00:00:19.557000,0 days 00:00:38.831000,0 days 00:00:17.433000,0 days 02:31:40.662000,0 days 02:32:19.493000,0 days 02:32:36.926000,299.0,239.0,294.0,275.0,False,SOFT,6.0,False,Mercedes,0 days 02:31:21.072000,NaT,1,8.0,,,False,True
0 days 02:33:52.838000,HAM,44,0 days 00:01:15.945000,50.0,5.0,NaT,NaT,0 days 00:00:19.364000,0 days 00:00:39.483000,0 days 00:00:17.098000,0 days 02:32:56.290000,0 days 02:33:35.773000,0 days 02:33:52.871000,321.0,245.0,315.0,289.0,False,SOFT,7.0,False,Mercedes,0 days 02:32:36.893000,NaT,1,9.0,,,False,True
