Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:40:58.125000,GAS,10,0 days 00:01:37.279000,20.0,2.0,NaT,NaT,0 days 00:00:34.951000,0 days 00:00:43.512000,0 days 00:00:18.816000,0 days 01:39:55.848000,0 days 01:40:39.360000,0 days 01:40:58.176000,268.0,303.0,256.0,303.0,True,HARD,2.0,True,Alpine,0 days 01:39:20.846000,NaT,1,14.0,,,False,True
0 days 01:42:38.223000,GAS,10,0 days 00:01:40.098000,21.0,2.0,NaT,NaT,0 days 00:00:36.261000,0 days 00:00:44.531000,0 days 00:00:19.306000,0 days 01:41:34.437000,0 days 01:42:18.968000,0 days 01:42:38.274000,270.0,308.0,258.0,304.0,False,HARD,3.0,True,Alpine,0 days 01:40:58.125000,NaT,1,12.0,,,False,True
0 days 01:44:16.404000,GAS,10,0 days 00:01:38.181000,22.0,2.0,NaT,NaT,0 days 00:00:35.497000,0 days 00:00:43.729000,0 days 00:00:18.955000,0 days 01:43:13.771000,0 days 01:43:57.500000,0 days 01:44:16.455000,271.0,304.0,260.0,303.0,False,HARD,4.0,True,Alpine,0 days 01:42:38.223000,NaT,1,12.0,,,False,True
0 days 01:45:55.060000,GAS,10,0 days 00:01:38.656000,23.0,2.0,NaT,NaT,0 days 00:00:35.419000,0 days 00:00:44.009000,0 days 00:00:19.228000,0 days 01:44:51.874000,0 days 01:45:35.883000,0 days 01:45:55.111000,269.0,304.0,261.0,299.0,False,HARD,5.0,True,Alpine,0 days 01:44:16.404000,NaT,1,11.0,,,False,True
0 days 01:47:33.303000,GAS,10,0 days 00:01:38.243000,24.0,2.0,NaT,NaT,0 days 00:00:35.263000,0 days 00:00:43.971000,0 days 00:00:19.009000,0 days 01:46:30.374000,0 days 01:47:14.345000,0 days 01:47:33.354000,267.0,299.0,255.0,300.0,False,HARD,6.0,True,Alpine,0 days 01:45:55.060000,NaT,1,10.0,,,False,True
0 days 01:49:12.315000,GAS,10,0 days 00:01:39.012000,25.0,2.0,NaT,NaT,0 days 00:00:35.925000,0 days 00:00:43.973000,0 days 00:00:19.114000,0 days 01:48:09.279000,0 days 01:48:53.252000,0 days 01:49:12.366000,266.0,299.0,255.0,294.0,False,HARD,7.0,True,Alpine,0 days 01:47:33.303000,NaT,1,10.0,,,False,True
0 days 01:50:51.007000,GAS,10,0 days 00:01:38.692000,26.0,2.0,NaT,NaT,0 days 00:00:35.908000,0 days 00:00:43.773000,0 days 00:00:19.011000,0 days 01:49:48.274000,0 days 01:50:32.047000,0 days 01:50:51.058000,268.0,300.0,255.0,297.0,False,HARD,8.0,True,Alpine,0 days 01:49:12.315000,NaT,1,9.0,,,False,True
0 days 01:52:29.614000,GAS,10,0 days 00:01:38.607000,27.0,2.0,NaT,NaT,0 days 00:00:35.757000,0 days 00:00:43.899000,0 days 00:00:18.951000,0 days 01:51:26.815000,0 days 01:52:10.714000,0 days 01:52:29.665000,269.0,299.0,254.0,300.0,False,HARD,9.0,True,Alpine,0 days 01:50:51.007000,NaT,1,9.0,,,False,True
0 days 01:54:08.472000,GAS,10,0 days 00:01:38.858000,28.0,2.0,NaT,NaT,0 days 00:00:35.863000,0 days 00:00:43.902000,0 days 00:00:19.093000,0 days 01:53:05.528000,0 days 01:53:49.430000,0 days 01:54:08.523000,270.0,301.0,253.0,302.0,False,HARD,10.0,True,Alpine,0 days 01:52:29.614000,NaT,1,8.0,,,False,True
0 days 01:55:47.513000,GAS,10,0 days 00:01:39.041000,29.0,2.0,NaT,NaT,0 days 00:00:35.859000,0 days 00:00:44.130000,0 days 00:00:19.052000,0 days 01:54:44.382000,0 days 01:55:28.512000,0 days 01:55:47.564000,270.0,298.0,254.0,299.0,False,HARD,11.0,True,Alpine,0 days 01:54:08.472000,NaT,1,8.0,,,False,True
