Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:19:32.601000,PER,11,0 days 00:01:33.547000,11.0,1.0,NaT,NaT,0 days 00:00:29.769000,0 days 00:00:37.845000,0 days 00:00:25.933000,NaT,0 days 01:19:06.676000,0 days 01:19:32.609000,300.0,258.0,242.0,320.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:17:59.054000,NaT,1,12.0,,,False,True
0 days 01:21:06.030000,PER,11,0 days 00:01:33.429000,12.0,1.0,NaT,NaT,0 days 00:00:29.824000,0 days 00:00:38,0 days 00:00:25.605000,0 days 01:20:02.433000,0 days 01:20:40.433000,0 days 01:21:06.038000,312.0,257.0,245.0,327.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:19:32.601000,NaT,1,11.0,,,False,True
0 days 01:22:39.482000,PER,11,0 days 00:01:33.452000,13.0,1.0,NaT,NaT,0 days 00:00:29.892000,0 days 00:00:37.777000,0 days 00:00:25.783000,0 days 01:21:35.930000,0 days 01:22:13.707000,0 days 01:22:39.490000,289.0,256.0,246.0,291.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:21:06.030000,NaT,1,11.0,,,False,True
0 days 01:24:13.233000,PER,11,0 days 00:01:33.751000,14.0,1.0,NaT,NaT,0 days 00:00:30.060000,0 days 00:00:37.957000,0 days 00:00:25.734000,0 days 01:23:09.550000,0 days 01:23:47.507000,0 days 01:24:13.241000,298.0,254.0,245.0,304.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:22:39.482000,NaT,1,11.0,,,False,True
0 days 01:25:46.713000,PER,11,0 days 00:01:33.480000,15.0,1.0,NaT,NaT,0 days 00:00:29.808000,0 days 00:00:37.868000,0 days 00:00:25.804000,0 days 01:24:43.049000,0 days 01:25:20.917000,0 days 01:25:46.721000,307.0,256.0,245.0,318.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:24:13.233000,NaT,1,11.0,,,False,True
0 days 01:27:19.768000,PER,11,0 days 00:01:33.055000,16.0,1.0,NaT,NaT,0 days 00:00:29.795000,0 days 00:00:37.899000,0 days 00:00:25.361000,0 days 01:26:16.516000,0 days 01:26:54.415000,0 days 01:27:19.776000,310.0,259.0,246.0,329.0,True,MEDIUM,16.0,True,Red Bull Racing,0 days 01:25:46.713000,NaT,1,10.0,,,False,True
0 days 01:28:53.048000,PER,11,0 days 00:01:33.280000,17.0,1.0,NaT,NaT,0 days 00:00:30.009000,0 days 00:00:37.544000,0 days 00:00:25.727000,0 days 01:27:49.785000,0 days 01:28:27.329000,0 days 01:28:53.056000,287.0,255.0,245.0,293.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:27:19.768000,NaT,1,10.0,,,False,True
0 days 01:30:26.147000,PER,11,0 days 00:01:33.099000,18.0,1.0,NaT,NaT,0 days 00:00:29.904000,0 days 00:00:37.549000,0 days 00:00:25.646000,0 days 01:29:22.960000,0 days 01:30:00.509000,0 days 01:30:26.155000,289.0,255.0,246.0,298.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:28:53.048000,NaT,1,10.0,,,False,True
0 days 01:31:59.423000,PER,11,0 days 00:01:33.276000,19.0,1.0,NaT,NaT,0 days 00:00:30.001000,0 days 00:00:37.540000,0 days 00:00:25.735000,0 days 01:30:56.156000,0 days 01:31:33.696000,0 days 01:31:59.431000,286.0,253.0,245.0,292.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:30:26.147000,NaT,1,9.0,,,False,True
0 days 01:33:32.625000,PER,11,0 days 00:01:33.202000,20.0,1.0,NaT,NaT,0 days 00:00:29.931000,0 days 00:00:37.611000,0 days 00:00:25.660000,0 days 01:32:29.362000,0 days 01:33:06.973000,0 days 01:33:32.633000,289.0,255.0,246.0,295.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:31:59.423000,NaT,1,9.0,,,False,True
