Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:15:53.312000,VER,1,0 days 00:01:25.683000,37.0,2.0,NaT,NaT,0 days 00:00:28.074000,0 days 00:00:29.485000,0 days 00:00:28.124000,0 days 02:14:55.706000,0 days 02:15:25.191000,0 days 02:15:53.315000,313.0,313.0,309.0,315.0,False,HARD,17.0,True,Red Bull Racing,0 days 02:14:27.629000,NaT,1,1.0,,,False,True
0 days 02:17:18.897000,VER,1,0 days 00:01:25.585000,38.0,2.0,NaT,NaT,0 days 00:00:28.067000,0 days 00:00:29.469000,0 days 00:00:28.049000,0 days 02:16:21.382000,0 days 02:16:50.851000,0 days 02:17:18.900000,314.0,315.0,310.0,312.0,False,HARD,18.0,True,Red Bull Racing,0 days 02:15:53.312000,NaT,1,1.0,,,False,True
0 days 02:18:44.383000,VER,1,0 days 00:01:25.486000,39.0,2.0,NaT,NaT,0 days 00:00:28.053000,0 days 00:00:29.353000,0 days 00:00:28.080000,0 days 02:17:46.953000,0 days 02:18:16.306000,0 days 02:18:44.386000,315.0,315.0,311.0,314.0,False,HARD,19.0,True,Red Bull Racing,0 days 02:17:18.897000,NaT,1,1.0,,,False,True
0 days 02:20:10.284000,VER,1,0 days 00:01:25.901000,40.0,2.0,NaT,NaT,0 days 00:00:28.185000,0 days 00:00:29.481000,0 days 00:00:28.235000,0 days 02:19:12.571000,0 days 02:19:42.052000,0 days 02:20:10.287000,315.0,315.0,310.0,309.0,False,HARD,20.0,True,Red Bull Racing,0 days 02:18:44.383000,NaT,1,1.0,,,False,True
0 days 02:21:36.063000,VER,1,0 days 00:01:25.779000,41.0,2.0,NaT,NaT,0 days 00:00:28.079000,0 days 00:00:29.543000,0 days 00:00:28.157000,0 days 02:20:38.366000,0 days 02:21:07.909000,0 days 02:21:36.066000,313.0,313.0,310.0,312.0,False,HARD,21.0,True,Red Bull Racing,0 days 02:20:10.284000,NaT,1,1.0,,,False,True
0 days 02:23:01.975000,VER,1,0 days 00:01:25.912000,42.0,2.0,NaT,NaT,0 days 00:00:28.057000,0 days 00:00:29.562000,0 days 00:00:28.293000,0 days 02:22:04.123000,0 days 02:22:33.685000,0 days 02:23:01.978000,314.0,316.0,309.0,313.0,False,HARD,22.0,True,Red Bull Racing,0 days 02:21:36.063000,NaT,1,1.0,,,False,True
0 days 02:24:27.969000,VER,1,0 days 00:01:25.994000,43.0,2.0,NaT,NaT,0 days 00:00:28.178000,0 days 00:00:29.666000,0 days 00:00:28.150000,0 days 02:23:30.156000,0 days 02:23:59.822000,0 days 02:24:27.972000,315.0,316.0,311.0,309.0,False,HARD,23.0,True,Red Bull Racing,0 days 02:23:01.975000,NaT,1,1.0,,,False,True
0 days 02:25:53.720000,VER,1,0 days 00:01:25.751000,44.0,2.0,NaT,NaT,0 days 00:00:28.030000,0 days 00:00:29.503000,0 days 00:00:28.218000,0 days 02:24:56.002000,0 days 02:25:25.505000,0 days 02:25:53.723000,316.0,318.0,310.0,311.0,False,HARD,24.0,True,Red Bull Racing,0 days 02:24:27.969000,NaT,1,1.0,,,False,True
0 days 02:27:19.636000,VER,1,0 days 00:01:25.916000,45.0,2.0,NaT,NaT,0 days 00:00:28.045000,0 days 00:00:29.693000,0 days 00:00:28.178000,0 days 02:26:21.768000,0 days 02:26:51.461000,0 days 02:27:19.639000,317.0,316.0,311.0,305.0,False,HARD,25.0,True,Red Bull Racing,0 days 02:25:53.720000,NaT,1,1.0,,,False,True
0 days 02:28:45.821000,VER,1,0 days 00:01:26.185000,46.0,2.0,NaT,NaT,0 days 00:00:28.067000,0 days 00:00:29.921000,0 days 00:00:28.197000,0 days 02:27:47.706000,0 days 02:28:17.627000,0 days 02:28:45.824000,316.0,317.0,312.0,308.0,False,HARD,26.0,True,Red Bull Racing,0 days 02:27:19.636000,NaT,1,1.0,,,False,True
