Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:31:06.440000,ZHO,24,0 days 00:01:26.227000,46.0,3.0,NaT,NaT,0 days 00:00:30.384000,0 days 00:00:33.656000,0 days 00:00:22.187000,0 days 02:30:10.647000,0 days 02:30:44.303000,0 days 02:31:06.490000,283.0,276.0,246.0,331.0,False,HARD,25.0,False,Alfa Romeo,0 days 02:29:40.213000,NaT,1,18.0,,,False,True
0 days 02:32:31.097000,ZHO,24,0 days 00:01:24.657000,47.0,3.0,NaT,NaT,0 days 00:00:29.431000,0 days 00:00:33.053000,0 days 00:00:22.173000,0 days 02:31:35.921000,0 days 02:32:08.974000,0 days 02:32:31.147000,285.0,277.0,245.0,323.0,False,HARD,26.0,False,Alfa Romeo,0 days 02:31:06.440000,NaT,1,17.0,,,False,True
0 days 02:33:55.445000,ZHO,24,0 days 00:01:24.348000,48.0,3.0,NaT,NaT,0 days 00:00:29.536000,0 days 00:00:32.876000,0 days 00:00:21.936000,0 days 02:33:00.683000,0 days 02:33:33.559000,0 days 02:33:55.495000,296.0,280.0,246.0,324.0,False,HARD,27.0,False,Alfa Romeo,0 days 02:32:31.097000,NaT,12,17.0,,,False,True
0 days 02:35:20.352000,ZHO,24,0 days 00:01:24.907000,49.0,3.0,NaT,NaT,0 days 00:00:29.930000,0 days 00:00:33.163000,0 days 00:00:21.814000,0 days 02:34:25.425000,0 days 02:34:58.588000,0 days 02:35:20.402000,292.0,281.0,246.0,324.0,False,HARD,28.0,False,Alfa Romeo,0 days 02:33:55.445000,NaT,21,17.0,,,False,True
0 days 02:36:44.471000,ZHO,24,0 days 00:01:24.119000,50.0,3.0,NaT,NaT,0 days 00:00:29.421000,0 days 00:00:32.859000,0 days 00:00:21.839000,0 days 02:35:49.823000,0 days 02:36:22.682000,0 days 02:36:44.521000,296.0,281.0,246.0,329.0,False,HARD,29.0,False,Alfa Romeo,0 days 02:35:20.352000,NaT,1,17.0,,,False,True
0 days 02:38:08.825000,ZHO,24,0 days 00:01:24.354000,51.0,3.0,NaT,NaT,0 days 00:00:29.407000,0 days 00:00:33.021000,0 days 00:00:21.926000,0 days 02:37:13.928000,0 days 02:37:46.949000,0 days 02:38:08.875000,295.0,281.0,246.0,328.0,False,HARD,30.0,False,Alfa Romeo,0 days 02:36:44.471000,NaT,1,17.0,,,False,True
0 days 02:39:33.314000,ZHO,24,0 days 00:01:24.489000,52.0,3.0,NaT,NaT,0 days 00:00:29.439000,0 days 00:00:32.896000,0 days 00:00:22.154000,0 days 02:38:38.314000,0 days 02:39:11.210000,0 days 02:39:33.364000,296.0,281.0,246.0,328.0,False,HARD,31.0,False,Alfa Romeo,0 days 02:38:08.825000,NaT,1,17.0,,,False,True
0 days 02:40:57.668000,ZHO,24,0 days 00:01:24.354000,53.0,3.0,NaT,NaT,0 days 00:00:29.555000,0 days 00:00:32.875000,0 days 00:00:21.924000,0 days 02:40:02.919000,0 days 02:40:35.794000,0 days 02:40:57.718000,286.0,282.0,246.0,324.0,False,HARD,32.0,False,Alfa Romeo,0 days 02:39:33.314000,NaT,1,17.0,,,False,True
0 days 02:42:21.676000,ZHO,24,0 days 00:01:24.008000,54.0,3.0,NaT,NaT,0 days 00:00:29.407000,0 days 00:00:32.812000,0 days 00:00:21.789000,0 days 02:41:27.125000,0 days 02:41:59.937000,0 days 02:42:21.726000,293.0,282.0,247.0,327.0,False,HARD,33.0,False,Alfa Romeo,0 days 02:40:57.668000,NaT,1,17.0,,,False,True
0 days 02:43:45.521000,ZHO,24,0 days 00:01:23.845000,55.0,3.0,NaT,NaT,0 days 00:00:29.354000,0 days 00:00:32.720000,0 days 00:00:21.771000,0 days 02:42:51.080000,0 days 02:43:23.800000,0 days 02:43:45.571000,295.0,282.0,247.0,328.0,False,HARD,34.0,False,Alfa Romeo,0 days 02:42:21.676000,NaT,1,17.0,,,False,True
